date,team,opponent,result
11-09,North+Carolina,Loyola MD,"W, 83-67 "
11-12,North+Carolina,Brown,"W, 94-87 "
11-16,North+Carolina,College of Charleston,"W, 94-83 "
11-20,North+Carolina,Purdue,"L, 93-84 "
11-21,North+Carolina,Tennessee,"L, 89-72 "
11-23,North+Carolina,UNC Asheville,"W, 72-53 "
12-01,North+Carolina,Michigan,"W, 72-51 "
12-05,North+Carolina,Georgia Tech,"W, 79-62 "
12-11,North+Carolina,Elon,"W, 80-63 "
12-14,North+Carolina,Furman,"W, 74-61 "
12-18,North+Carolina,Kentucky,"L, 98-69 "
12-21,North+Carolina,Appalachian St.,"W, 70-50 "
1-02,North+Carolina,Boston College,"W, 91-65 "
1-05,North+Carolina,Notre Dame,"L, 78-73 "
1-08,North+Carolina,Virginia,"W, 74-58 "
1-15,North+Carolina,Georgia Tech,"W, 88-65 "
1-18,North+Carolina,Miami FL,"L, 85-57 "
1-22,North+Carolina,Wake Forest,"L, 98-76 "
1-24,North+Carolina,Virginia Tech,"W, 78-68 "
1-26,North+Carolina,Boston College,"W, 58-47 "
1-29,North+Carolina,North Carolina St.,"W, 100-80 "
2-01,North+Carolina,Louisville,"W, 90-83 OT"
2-05,North+Carolina,Duke,"+2.4, 77-7441%"
2-08,North+Carolina,Clemson,"+0.4, 76-7548%"
2-12,North+Carolina,Florida St.,"-7.0, 77-7075%"
2-16,North+Carolina,Pittsburgh,"-14.9, 76-6192%"
2-19,North+Carolina,Virginia Tech,"+2.6, 73-7040%"
2-21,North+Carolina,Louisville,"-11.4, 79-6886%"
2-26,North+Carolina,North Carolina St.,"-3.0, 79-7661%"
2-28,North+Carolina,Syracuse,"-7.3, 84-7774%"
3-05,North+Carolina,Duke,"+10.2, 81-7117%"
11-09,Wisconsin,St. Francis NY,"W, 81-58 "
11-12,Wisconsin,Green Bay,"W, 72-34 "
11-15,Wisconsin,Providence,"L, 63-58 "
11-22,Wisconsin,Texas A&M,"W, 69-58 "
11-23,Wisconsin,Houston,"W, 65-63 "
11-24,Wisconsin,Saint Mary's,"W, 61-55 "
12-01,Wisconsin,Georgia Tech,"W, 70-66 "
12-04,Wisconsin,Marquette,"W, 89-76 "
12-08,Wisconsin,Indiana,"W, 64-59 "
12-11,Wisconsin,Ohio St.,"L, 73-55 "
12-15,Wisconsin,Nicholls St.,"W, 71-68 "
12-29,Wisconsin,Illinois St.,"W, 89-85 "
1-03,Wisconsin,Purdue,"W, 74-69 "
1-06,Wisconsin,Iowa,"W, 87-78 "
1-09,Wisconsin,Maryland,"W, 70-69 "
1-13,Wisconsin,Ohio St.,"W, 78-68 "
1-18,Wisconsin,Northwestern,"W, 82-76 "
1-21,Wisconsin,Michigan St.,"L, 86-74 "
1-27,Wisconsin,Nebraska,"W, 73-65 "
1-30,Wisconsin,Minnesota,"W, 66-60 "
2-02,Wisconsin,Illinois,"+6.3, 72-6626%"
2-05,Wisconsin,Penn St.,"-9.0, 67-5884%"
2-08,Wisconsin,Michigan St.,"+4.6, 72-6832%"
